accession	sample_title	breed	scientific_name	sex	center_name
SAMN03652974	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652975	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652976	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652977	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652978	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652979	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652980	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652981	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652982	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652983	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652984	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652985	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652986	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652987	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652988	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652989	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652990	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652991	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652992	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652993	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652994	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652995	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652996	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMEA104055783	25663_NoIndex_L002		Bos taurus		INRA JOUY-EN-JOSAS
SAMEA5714973	Angus x Simmental	Angus x Simmental	Bos taurus		UNIBE-IG
SAMN01915351	Bar 5F-1 Optimizer 461P	"Crossbred (5% Simmental, 5% Red Angus)"	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN01915340	Red Stalburn Forefront 37F	"Crossbred (5% Red Angus, 5% Limousin)"	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN01915348	Liahn Gold Bullion 858H	"Crossbred (5% South Devon, 25% Red Angus, 25% Gelbvieh)"	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02941208	MM 16H	"Crossbred (75% Gelbvieh, 25% Limousin)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN01915347	Feltis Gold 8104H	"Crossbred (62.5% Red Angus, 37.5% Gelbvieh)"	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02941226	RED LEADER 57F	"Crossbred (5% Simmental, 5% Red Angus)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02941227	SILVER SPRINGS SMAR JJMC 61H	"Crossbred (5% Simmental, 25% Red Angus, 25% Angus)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02941228	RED BALDY 85G	"Crossbred (5% Simmental, 37.5% Red Angus, 12.5% Angus)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02941211	NLDF 329MC	"Crossbred (5% Simmental, 25% Red Angus, 25% Charolais)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02941212	NLDF 332MC	"Crossbred (37.5% Gelbvieh, 25% Red Angus, 12.5% Simmental, 12.5% Limousin)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02941213	LEACHMAN PROTOTYPE 4460K	"Crossbred (25% Red Angus, 25% Simmental, 25% Gelbvieh, 25% Hereford)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02941214	LEACHMAN WIDEBODY 5452K	"Crossbred (62.5% Angus, 12.5% Simmental, 12.5% Gelbvieh, 12.5% Hereford)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMEA3706824	Rapid Discovery of De Novo Deleterious Mutations in Cattle Using Genome Sequence Data: Enhancing the Value of Farm Animals as Model Species		Bos taurus		UNIBE-IG
SAMEA32992918	Limousin x Brown Swiss	Limousin x Brown Swiss	Bos taurus		UNIBE-IG
SAMEA5159851	Australian Lowline	Australian Lowline	Bos taurus		UNIBE-IG
SAMN02941221	DAUME DESIGNED DERIVATIVE	"Crossbred (5% Simmental, 5% Angus)"	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN01915343	RDDS FTR Prototype 1541P	"Crossbred (5% Simmental, 5% Angus)"	Bos taurus		"Livestock Gentec, University of Alberta"
